Site_ID,lat,lon,Discription
BRWCM1,39.16456,-77.8546,Shenandoah R above Riverside WV
BRWCM2,39.29144,-77.7841,Shenandoah R at Millville WV at US Rt 340 Br
BRWCM3,39.32045,-77.74242,Shenandoah R at Harper's Ferry WV at US Rt 340 BR
BRWCM4,39.25453,-77.8146,Shenandoah R nr Mechanicstown WV at Charles Town RD WV Rt 115 BR abv Evitts Run
BRWCT1,39.21986,-77.81439,Little Lake Run at Shanondale WV off Lower Club House Dr
BRWCT3,39.25727,-77.78454,Forge Run nr Mannings WV off walling Dr
EC08,38.94969,-78.19813,NF Shenandoah R nr Riverton VA off Riverton Rd VA Rt 637 at boat landing
EC09,38.95827,-78.12292,Shenandoah R blw Front Royal VA at Morgan's Ford Farm Road VA Rt 624 low water bridge
EC11,39.09847,-77.93374,Shenandoah R nr Briggs VA off Locke's Mill Rd VA Rt 621 blw Watermelon Park
FC01,39.04164,-78.00064,Shenandoah R at Berrys VA at US Rt. 50 Br - Berry's Landing
FC02,39.06556,-78.00306,Spout Run nr Millwood VA at Tilthammer Mill Rd VA Rt 621
FC03,39.09336,-77.97742,Lewis Run nr Millwood VA off Springsbury Ln VA Rt 618
FC05,39.10181,-77.96456,Shenandoah R nr Briggs VA off Locke's Mill Rd VA Rt 621
FC06,39.10556,-77.92294,Dog Run nr Webbtown VA off Locke's Mill Rd VA Rt 621
FC07B,39.12497,-77.89148,Berryville WWTP to Shenandoah R blw VA Rt 7 begining in October 2012
FC08,39.12392,-77.89119,Shenandoah R nr Webbtown VA at Harry Byrd Hwy VA Rt. 7 Br
FC09,39.09335,-78.05048,Page Brook nr Boyce VA at Old Chapel Rd VA Rt 617
FC18,39.08606,-77.98728,Chapel Run nr Claytonville VA at Ellerslie Rd VA Rt 621
FC31,39.08864,-78.06342,Boyce WWTP to Roseville Run
FC32,39.13262,-77.88792,Wheat Spring Br nr Webbtown VA at Castleman Rd VA Rt 603
FC33,39.08059,-78.05298,Roseville Run nr Boyce VA at Millwood Country Club
FC340,39.14381,-77.9882,Craig Run in Berryville VA at S Buckmarsh St at US Rt 340
FP01,38.48222,-78.6275,SF Shenandoah R at Shenandoah VA off E point Rd VA Rt 602
FP03,38.64611,-78.53458,SF Shenandoah R nr Salem VA at US Rt 211 Br
FP05,38.80139,-78.36778,SF Shenandoah R nr Overall VA nr Page Valley Rd Va Rt 717 Burner's Bottom
FP06,38.70819,-78.45661,Hawksbill Cr nr Springfield VA off Sandyhook Rd VA Rt 648
FP07,38.705,-78.44611,Pass Run nr Springfield VA at Pass Run Rd Br VA Rt 658
FP08,38.65901,-78.46223,Hawksbill Cr in Luray VA at Linden Ave Br
FP09,38.68444,-78.45917,Luray WWTP to Hawsbill Cr
FP10,38.58106,-78.52708,Stanley WWTP to Stony Run
FP12,38.55432,-78.59838,Cub Run nr Grove Hill VA at Strole Farm Rd
FP13,38.65967,-78.51728,Mill Cr nr Luray VA nr Homested Dr VA Rt 647
FP14,38.76806,-78.39392,Jeremy's Run nr Rileyville VA off Johnny's Rd nr mouth
FP15,38.8055,-78.34867,Overall Run nr Compton VA nr Stonewall Jackson Hwy US 340
FP17,38.6325,-78.5475,Big Run nr Salem VA Egypt Bend Rd br VA Rt 615
FS02,39.04122,-78.33241,Cedar Cr nr Oranda VA at Minebank Br Va Rt 745
FS04,39.07797,-78.32573,Cedar Cr nr Marboro VA at Middle Rd br Va Rt 628
FW11,38.90556,-78.1856,Happy Cr in Front royal VA at E Criser Rd Br
FW14,38.91328,-78.20971,SF Shenandoah R at Front Royal VA water Intake at luray Ave
FW14,38.91328,-78.20971,SF Shenandoah R at Front Royal VA water Intake at luray Ave
FW40,38.95886,-78.26674,Passage Cr nr Riverton VA near Strasburg Rd VA Rt 55
GA01,38.29581,-78.80796,South R at Port Republic VA off Tiger Camp Rd VA Rt 1604
GA02,38.21833,-78.83667,South R at Harriston VA at Patterson Mill Rd br VA Rt 778
GA02A,38.25923,-78.83076,South R in Grottoes VA at Caverns Blvd br VA Rt 844
GA02B,38.28422,-78.83427,South R in Grottoes VA off 20th St at Grottoes Town Pk
GA04,38.08861,-78.87694,South R in Waynesboro VA at Hopeman Pkwy br
GA08,38.02267,-79.09409,South R nr Stuarts Draft VA at Wilda Rd br
GA11,38.23011,-78.92609,Middle R nr Fort Defiance VA at Knightly Mill Rd br VA Rt 778
GA13,38.24349,-79.03531,Middle R nr Spring Hill VA at Lebanon Ch Rd br VA Rt 742
GA17,38.15236,-79.18113,Middle R nr Swoope VA nr Hwett Rd br VA Rt 703 below Back Cr
GA17BC,38.1505,-79.1827,Back Cr nr Swoope VA off Hewtt Rd VA Rt 703 near mouth
GA17MR,38.15063,-79.18287,Middle R nr Swoope VA off Hewtt Rd VA Rt 703 abv Back Cr
GA18,38.07419,-79.2554,Middle R nr Middlebrook VA at Cales Springs Rd br VA Rt 603
GA21,38.06556,-78.88361,Rockfish Run in Waynesboro VA off 10th St @ DuPont rec fld
GA23,38.04613,-78.94249,South R nr Waynesboro VA at Lyndhurst Rd br VA Rt 664
GA32A,38.05618,-79.07121,Christians Cr nr Steuarts Draft VA at Old White Hill Rd br VA Rt 831
GA33,38.24436,-79.08443,Moffett Cr nr Spring Hill VA at Middle RiverRd br VA Rt 732 nr mouth
GA34,38.22122,-79.13568,Jennings Br nr Churchville VA at Hangers Mill Rd br VA Rt _?_
GA36,38.30611,-78.89333,North R nr Weyers Cave VA at Keezletown Rd br VA Rt 276
GA38,38.21639,-79.13306,Middle R nr Churchvill VA at Churchville Rd br US 250
GA39,38.2208,-79.15329,Whiskey Cr nr Churchville VA at Churchville Rd br US 250
JA01,38.30826,-78.92472,Naked Cr nr Weyer Cave VA at Dices Spring Rd br VA Rt 694
JR01,38.43193,-78.9803,Muddy Cr nr Dayton VA at Rushville Rd br VA Rt 737
JR02,38.43384,-78.98545,Dry R nr Dayton VA at Rushville Rd br VA Rt 752
JR03,38.39914,-79.02303,Briery Branch nr Bridgewater VA at Thomas Spring Rd br VA Rt 748
JR05,38.38684,-79.01421,Mossy Cr nr Brigewater VA at Spring Cr Rd VA Rt 727
JR06,38.37742,-78.98135,Long Glade Cr Brigewater VA at Airportr Rd VA Rt 727
JR12,38.31628,-78.81842,Mill Cr nr Port Republic VA at Shady Grove Rd br VA Rt 671
LC01,38.52416,-78.86006,West Fork Linville Cr at Edom UMC VA off Jesse Bennett Way VA Rt 859
LC02,38.52305,-78.86009,"Linville Cr below confluence of Buttermilk Cr, above confluence with West Fork Linville Cr at Edom UMC off Jesse Bennett Way VA Rt 859"
LC03,38.5759,-78.84673,Tide Spring Br nr Broadway VA at Woodlands Church Rd br VA Rt 784
LC04,38.53684,-78.85495,Joes Cr nr Broadway VA at Shaver Mill Rd br VA Rt 780
LC05,38.60143,-78.80375,Daphna Cr in Broadway VA off Harpin Hwy VA Rt 42
LC06,38.61279,-78.80028,Linville Cr in Broadway VA below Turner Ave VA Rt 1414
LCNR01,38.6186,-78.7955,Linville Cr in Broadway VA blw E Lee St VA Rt 259 nr mouth
NR01,38.6186,-78.7956,Linville Cr in Broadway VA blw E Lee St VA Rt 259 nr mouth
NR02,38.6197,-78.7957,NF Shen in Broadway VA at Rt 1411 abv Linville Cr
NS07,38.9096,-78.7958,NF Shenandoah R blw Woodstock VA at Headly Rd br VA Rt 600 low water br
NS13,38.94317,-78.7959,Toms Brook nr Toms Brook VA off Creek RD VA Rt 653 above WWTP
NS15,38.9767,-78.796,NF Shenandoah R nr Strasburg VA at Front Royal Rd br VA Rt 55 blw Strasburg WWTP
NS25,38.8716,-78.7961,NF Shenandoah R nr Woodstock VA at Lupton Rd br
NS25,38.8716,-78.7962,NF Shenandoah R nr Woodstock VA at Lupton Rd br
NS26BR,38.84463,-78.7963,NF Shenandoah R nr Woodstock VA at Chapman Landing Rd br VA Rt 672 abv Chapman Landing
NS26BR,38.84463,-78.7964,NF Shenandoah R nr Woodstock VA at Chapman Landing Rd br VA Rt 672 abv Chapman Landing
NS29,38.8469,-78.7965,Stony Cr nr Edinburg VA at Wakemans Grove Rd br VA Rt 682
NS29,38.8469,-78.7966,Stony Cr nr Edinburg VA at Wakemans Grove Rd br VA Rt 682
NS30,38.8701,-78.7967,Stony Cr nr Columbia Furnace VA at Stony Cr Rd br VA Rt 675
NS44,38.9853,-78.7968,Tumbling Run at Fishers Hill VA at Copp Rd br Va Rt 757
NS46,38.7555,-78.7969,Mill Cr nr Mt Jackson VA at S Middle Rd br VA Rt 614
NS52,39.09778,-78.797,Cedar Cr nr Marlboro VA off Moores Ford Rd VA Rt 606
NS53,38.74194,-78.7971,Passage Cr nr Luray VA at Moreland Gap Rd br VA Rt 730
NS59,38.98738,-78.7972,NF Shenandoah R at Strasburg VA off Stover Ave US 11 at Old Mill Restaurant
NS61,39.0067,-78.7973,Cedar Cr nr Strasburg VA nr Old Valley Pike br US Rt 11
NS61,39.0067,-78.7974,Cedar Cr nr Strasburg VA nr Old Valley Pike br US Rt 11
NS67,38.9029,-78.7975,NF Shenandoah R nr Woodstock VA at Artz Rd br VA Rt 663
NS68,38.89235,-78.7976,Passage Cr blw Seven Fountains VA at Ramsey Rd br VA Rt 772 low water br
SRPFC09,39.09335,-78.7977,Page Brook nr Boyce VA at Old Chapel Rd VA Rt 617
SRPFC35,39.07822,-78.7978,Page Brook nr Boyce VA nr Millwood Rd VA Rt 723 at Powhatan School
SRPFC54B,39.06828,-78.7979,Spout Run nr Millwood VA off Bishop Mead Rd at Carter Hall
SRPFCPHS,39.08865,-78.798,Prospect Hill Spring nr Boyce VA to Page Brook
SVB03,39.2005,-78.7981,Redbud Run near Winchester VA downstream of sites SVB01 and SVB02
TB2,38.9375,-78.7982,Toms Brook nr Toms Brook VA at Tea Berry Rd VA Rt 650 abv Jordan Run
TB3,38.92861,-78.7983,Jordan Run nr Toms Brook VA at Woodville Rd br VA Rt 645 abvToms Br
TB3,38.92861,-78.7984,Jordan Run nr Toms Brook VA at Woodville Rd br VA Rt 645 abvToms Br
TBV1,38.6375,-78.7985,NF Shenandoah R atTimberville VA at Main St br Va Rt 42
TBV2,38.652,-78.7986,NF Shenandoah R nr Timberville VA at New market Depot Rd br VA Rt 728
TR1,39.18485,-78.7987,Town Run in Winchester VA at S. Stewart St br